AV5_8O7ytUQoPd9mybjl,0.01652600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OwBtUQoPd9mybjg,0.01677400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OkltUQoPd9mybjb,0.01681900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8ONStUQoPd9mybjR,0.02834200000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OY5tUQoPd9mybjW,0.01715000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL1optUQoPd9mybkU,0.01458400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6AL13FtUQoPd9mybkb,0.05458300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8OpMtUQoPd9mybjd,0.01548200000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8O5itUQoPd9mybjk,0.01691900000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV5_8ObVtUQoPd9mybjX,0.01605300000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
